Time	I_Q3
0.001997435	5.201774151
0.00199744	5.257694802
0.001997445	5.312480297
0.00199745	5.366097014
0.001997455	5.418522569
0.00199746	5.469724123
0.001997465	5.519679917
0.00199747	5.568357878
0.001997475	5.615736939
0.00199748	5.661785814
0.001997485	5.706484096
0.00199749	5.749801389
0.001997495	5.791717939
0.0019975	5.832204216
0.001997505	5.8712412
0.00199751	5.908800219
0.001997515	5.944863034
0.00199752	5.979401863
0.001997525	6.012399204
0.00199753	6.043828257
0.001997535	6.073672253
0.00199754	6.101905349
0.001997545	6.128511586
0.00199755	6.153466089
0.001997555	6.176753722
0.00199756	6.198350569
0.001997565	6.218242326
0.00199757	6.236406136
0.001997575	6.252828499
0.00199758	6.267487578
0.001997585	6.280370741
0.00199759	6.291457197
0.001997595	6.300735166
0.0019976	6.308184936
0.001997605	6.313795616
0.00199761	6.317548525
0.001997615	6.319433702
0.00199762	6.319433538
0.001997625	6.317538968
0.00199763	6.313733486
0.001997635	6.308008942
0.00199764	6.300349938
0.001997645	6.290749212
0.00199765	6.279192519
0.001997655	6.265673512
0.00199766	6.250179069
0.001997665	6.232703797
0.00199767	6.213235665
0.001997675	6.19177024
0.00199768	6.168296636
0.001997685	6.14281133
0.00199769	6.115304608
0.001997695	6.085773911
0.0019977	6.054210637
0.001997705	6.020613164
0.00199771	5.984974067
0.001997715	5.947292678
0.00199772	5.907562674
0.001997725	5.865784381
0.00199773	5.821952627
0.001997735	5.776068676
0.00199774	5.728128492
0.001997745	5.678134286
0.00199775	5.626083187
0.001997755	5.571978342
0.00199776	5.515818025
0.001997765	5.457606314
0.00199777	5.397342633
0.001997775	5.335031993
0.00199778	5.270674954
0.001997785	5.20427745
0.00199779	5.135841164
0.001997795	5.065372982
0.0019978	4.992875667
0.001997805	4.918357043
0.00199781	4.841820996
0.001997815	4.763276216
0.00199782	4.682727734
0.001997825	4.600185143
0.00199783	4.51565451
0.001997835	4.429146344
0.00199784	4.340667807
0.001997845	4.250230276
0.00199785	4.157841978
0.001997855	4.063515121
0.00199786	3.96725904
0.001997865	3.869086783
0.00199787	3.769008671
0.001997875	3.667038634
0.00199788	3.563188017
0.001997885	3.45747155
0.00199789	3.349901618
0.001997895	3.240493704
0.0019979	3.129261209
0.001997905	3.016220425
0.00199791	2.901385713
0.001997915	2.784774097
0.00199792	2.666400931
0.001997925	2.546283987
0.00199793	2.424439558
0.001997935	2.300886123
0.00199794	2.175640887
0.001997945	2.048723083
0.00199795	1.920150758
0.001997955	1.789943852
0.00199796	1.658121299
0.001997965	1.524703684
0.00199797	1.389710825
0.001997975	1.253163902
0.00199798	1.115083599
0.001997985	0.975491687
0.00199799	0.834409668
0.001997995	0.691859931
0.001998	0.54786473
0.001998005	-0.002464908
0.00199801	-0.340456822
0.001998015	-0.332162749
0.00199802	-0.097859875
0.001998025	-0.094784262
0.00199803	-0.328317071
0.001998035	-0.339998117
0.00199804	-0.103182678
0.001998045	-0.076581301
0.00199805	-0.308193592
0.001998055	-6.00E-06
0.00199806	6.64E-06
0.001998065	0.080727645
0.00199807	-2.76E-06
0.001998075	-1.17E-06
0.00199808	-3.39E-06
0.001998085	-1.80E-06
0.00199809	-4.01E-06
0.001998095	-2.42E-06
0.0019981	-4.61E-06
0.001998105	-3.03E-06
0.00199811	-5.20E-06
0.001998115	-3.64E-06
0.00199812	-5.79E-06
0.001998125	-4.23E-06
0.00199813	-6.36E-06
0.001998135	-4.79E-06
0.00199814	-6.91E-06
0.001998145	-5.34E-06
0.00199815	-7.45E-06
0.001998155	-5.88E-06
0.00199816	-7.96E-06
0.001998165	-6.39E-06
0.00199817	-8.45E-06
0.001998175	-6.90E-06
0.00199818	-8.94E-06
0.001998185	-7.38E-06
0.00199819	-9.39E-06
0.001998195	-7.83E-06
0.0019982	-9.83E-06
0.001998205	-8.27E-06
0.00199821	-1.03E-05
0.001998215	-8.70E-06
0.00199822	-1.07E-05
0.001998225	-9.09E-06
0.00199823	-1.10E-05
0.001998235	-9.47E-06
0.00199824	-1.14E-05
0.001998245	-9.83E-06
0.00199825	-1.17E-05
0.001998255	-1.02E-05
0.00199826	-1.20E-05
0.001998265	-1.05E-05
0.00199827	-1.23E-05
0.001998275	-1.07E-05
0.00199828	-1.25E-05
0.001998285	-1.10E-05
0.00199829	-1.28E-05
0.001998295	-1.13E-05
0.0019983	-1.30E-05
0.001998305	-1.15E-05
0.00199831	-1.32E-05
0.001998315	-1.16E-05
0.00199832	-1.33E-05
0.001998325	-1.18E-05
0.00199833	-1.34E-05
0.001998335	-1.19E-05
0.00199834	-1.35E-05
0.001998345	-1.20E-05
0.00199835	-1.36E-05
0.001998355	-1.21E-05
0.00199836	-1.37E-05
0.001998365	-1.22E-05
0.00199837	-1.37E-05
0.001998375	-1.22E-05
0.00199838	-1.37E-05
0.001998385	-1.22E-05
0.00199839	-1.36E-05
0.001998395	-1.22E-05
0.0019984	-1.36E-05
0.001998405	-1.21E-05
0.00199841	-1.35E-05
0.001998415	-1.20E-05
0.00199842	-1.34E-05
0.001998425	-1.19E-05
0.00199843	-1.32E-05
0.001998435	-1.17E-05
0.00199844	-1.30E-05
0.001998445	-1.16E-05
0.00199845	-1.28E-05
0.001998455	-1.14E-05
0.00199846	-1.26E-05
0.001998465	-1.11E-05
0.00199847	-1.23E-05
0.001998475	-1.09E-05
0.00199848	-1.21E-05
0.001998485	-1.06E-05
0.00199849	-1.17E-05
0.001998495	-1.03E-05
0.0019985	-1.14E-05
0.001998505	-9.96E-06
0.00199851	-1.10E-05
0.001998515	-9.60E-06
0.00199852	-1.06E-05
0.001998525	-9.21E-06
0.00199853	-1.02E-05
0.001998535	-8.79E-06
0.00199854	-9.74E-06
0.001998545	-8.35E-06
0.00199855	-9.26E-06
0.001998555	-7.88E-06
0.00199856	-8.76E-06
0.001998565	-7.38E-06
0.00199857	-8.22E-06
0.001998575	-6.86E-06
0.00199858	-7.67E-06
0.001998585	-6.31E-06
0.00199859	-7.09E-06
0.001998595	-5.74E-06
0.0019986	-6.49E-06
0.001998605	-5.14E-06
0.00199861	-5.85E-06
0.001998615	-4.53E-06
0.00199862	-5.19E-06
0.001998625	-3.88E-06
0.00199863	-4.53E-06
0.001998635	-3.23E-06
0.00199864	-3.82E-06
0.001998645	-2.54E-06
0.00199865	-3.10E-06
0.001998655	-1.82E-06
0.00199866	-2.35E-06
0.001998665	-1.10E-06
0.00199867	-1.59E-06
0.001998675	-3.41E-07
0.00199868	-8.17E-07
0.001998685	4.26E-07
0.00199869	-7.11E-09
0.001998695	1.21E-06
0.0019987	8.24E-07
0.001998705	2.02E-06
0.00199871	1.66E-06
0.001998715	2.86E-06
0.00199872	2.53E-06
0.001998725	3.70E-06
0.00199873	3.41E-06
0.001998735	4.56E-06
0.00199874	4.28E-06
0.001998745	5.44E-06
0.00199875	5.22E-06
0.001998755	6.32E-06
0.00199876	6.12E-06
0.001998765	7.24E-06
0.00199877	7.07E-06
0.001998775	8.16E-06
0.00199878	8.02E-06
0.001998785	9.09E-06
0.00199879	8.99E-06
0.001998795	1.00E-05
0.0019988	9.96E-06
0.001998805	1.10E-05
0.00199881	1.10E-05
0.001998815	1.20E-05
0.00199882	1.20E-05
0.001998825	1.29E-05
0.00199883	1.30E-05
0.001998835	1.39E-05
0.00199884	1.40E-05
0.001998845	1.49E-05
0.00199885	1.50E-05
0.001998855	1.59E-05
0.00199886	1.60E-05
0.001998865	1.69E-05
0.00199887	1.71E-05
0.001998875	1.80E-05
0.00199888	1.81E-05
0.001998885	1.90E-05
0.00199889	1.92E-05
0.001998895	2.00E-05
0.0019989	2.02E-05
0.001998905	2.10E-05
0.00199891	2.13E-05
0.001998915	2.21E-05
0.00199892	2.24E-05
0.001998925	2.31E-05
0.00199893	2.34E-05
0.001998935	2.42E-05
0.00199894	2.45E-05
0.001998945	2.52E-05
0.00199895	2.56E-05
0.001998955	2.62E-05
0.00199896	2.66E-05
0.001998965	2.72E-05
0.00199897	2.77E-05
0.001998975	2.83E-05
0.00199898	2.87E-05
0.001998985	2.93E-05
0.00199899	2.98E-05
0.001998995	3.03E-05
0.001999	3.08E-05
0.001999005	0.002473719
0.00199901	0.340464439
0.001999015	0.332170423
0.00199902	0.097866661
0.001999025	0.094790963
0.00199903	0.328324646
0.001999035	0.340005812
0.00199904	0.1031895
0.001999045	0.076587959
0.00199905	0.308201116
0.001999055	0.448074559
0.00199906	0.256880924
0.001999065	0.26627405
0.00199907	0.234379918
0.001999075	0.284211254
0.00199908	0.33534414
0.001999085	0.38775508
0.00199909	0.44140512
0.001999095	0.496270196
0.0019991	0.552310865
0.001999105	0.609502521
0.00199911	0.667805281
0.001999115	0.727194006
0.00199912	0.787628402
0.001999125	0.849082859
0.00199913	0.911516715
0.001999135	0.974903912
0.00199914	1.039203418
0.001999145	1.104388808
0.00199915	1.17041872
0.001999155	1.237266339
0.00199916	1.30489007
0.001999165	1.373262741
0.00199917	1.442342501
0.001999175	1.512101896
0.00199918	1.582498896
0.001999185	1.653505741
0.00199919	1.72508026
0.001999195	1.797194457
0.0019992	1.869806034
0.001999205	1.942886811
0.00199921	2.016394376
0.001999215	2.090300399
0.00199922	2.164562439
0.001999225	2.239152003
0.00199923	2.314026666
0.001999235	2.389157835
0.00199924	2.464503098
0.001999245	2.540033826
0.00199925	2.61570765
0.001999255	2.691495922
0.00199926	2.767356378
0.001999265	2.843260376
0.00199927	2.919165809
0.001999275	2.995044056
0.00199928	3.07085319
0.001999285	3.146564673
0.00199929	3.222136804
0.001999295	3.297541134
0.0019993	3.372736217
0.001999305	3.447693764
0.00199931	3.52237258
0.001999315	3.596744598
0.00199932	3.670768926
0.001999325	3.744417704
0.00199933	3.817650409
0.001999335	3.890439395
0.00199934	3.962744572
0.001999345	4.034538563
0.00199935	4.10578167
0.001999355	4.176446836
0.00199936	4.246494868
0.001999365	4.315898998
0.00199937	4.384620539
0.001999375	4.452633121
0.00199938	4.519898532
0.001999385	4.586390837
0.00199939	4.652072398
0.001999395	4.71691768
0.0019994	4.780889647
0.001999405	4.843963218
0.00199941	4.906101992
0.001999415	4.967281363
0.00199942	5.027465591
0.001999425	5.086630587
0.00199943	5.14474128
0.001999435	5.201774137
0.00199944	5.257694795
0.001999445	5.312480305
0.00199945	5.366097014
0.001999455	5.418522562
0.00199946	5.469724115
0.001999465	5.519679917
0.00199947	5.568357878
0.001999475	5.615736931
0.00199948	5.661785821
0.001999485	5.70648411
0.00199949	5.749801403
0.001999495	5.791717939
0.0019995	5.832204216
0.001999505	5.8712412
0.00199951	5.908800226
0.001999515	5.944863034
0.00199952	5.979401877
0.001999525	6.012399211
0.00199953	6.043828257
0.001999535	6.07367226
0.00199954	6.101905363
0.001999545	6.128511608
0.00199955	6.153466103
0.001999555	6.176753715
0.00199956	6.198350583
0.001999565	6.218242348
0.00199957	6.236406151
0.001999575	6.252828506
0.00199958	6.267487585
0.001999585	6.280370755
0.00199959	6.291457204
0.001999595	6.300735187
0.0019996	6.308184958
0.001999605	6.31379563
0.00199961	6.317548547
0.001999615	6.319433723
0.00199962	6.319433567
0.001999625	6.317538983
0.00199963	6.313733508
0.001999635	6.308008949
0.00199964	6.300349938
0.001999645	6.290749226
0.00199965	6.279192533
0.001999655	6.265673541
0.00199966	6.250179091
0.001999665	6.232703818
0.00199967	6.213235686
0.001999675	6.191770261
0.00199968	6.16829665
0.001999685	6.142811351
0.00199969	6.115304643
0.001999695	6.08577394
0.0019997	6.054210658
0.001999705	6.020613199
0.00199971	5.984974095
0.001999715	5.947292699
0.00199972	5.907562709
0.001999725	5.865784409
0.00199973	5.821952648
0.001999735	5.776068704
0.00199974	5.728128514
0.001999745	5.678134315
0.00199975	5.626083208
0.001999755	5.571978363
0.00199976	5.515818053
0.001999765	5.457606342
0.00199977	5.397342662
0.001999775	5.335032021
0.00199978	5.270674983
0.001999785	5.204277478
0.00199979	5.135841192
0.001999795	5.065373003
0.0019998	4.992875702
0.001999805	4.918357064
0.00199981	4.841821017
0.001999815	4.763276259
0.00199982	4.68272777
0.001999825	4.600185164
0.00199983	4.515654545
0.001999835	4.429146379
0.00199984	4.34066785
0.001999845	4.250230312
0.00199985	4.157842014
0.001999855	4.063515171
0.00199986	3.967259076
0.001999865	3.869086811
0.00199987	3.769008707
0.001999875	3.667038662
0.00199988	3.563188059
0.001999885	3.457471593
0.00199989	3.349901654
0.001999895	3.240493733
0.0019999	3.129261252
0.001999905	3.016220461
0.00199991	2.901385741
0.001999915	2.784774132
0.00199992	2.666400967
0.001999925	2.546284023
0.00199993	2.424439593
0.001999935	2.300886159
0.00199994	2.17564093
0.001999945	2.048723104
0.00199995	1.920150801
0.001999955	1.78994388
0.00199996	1.658121342
0.001999965	1.52470372
0.00199997	1.389710853
0.001999975	1.253163937
0.00199998	1.11508362
0.001999985	0.975491716
0.00199999	0.834409718
0.001999995	0.691859974
0.002	0.547864765
