Time	Ipri_tank
0.001997825	-4.226597213
0.00199783	-4.216819264
0.001997835	-4.206051642
0.00199784	-4.194298839
0.001997845	-4.181565714
0.00199785	-4.167857156
0.001997855	-4.153178509
0.00199786	-4.137535143
0.001997865	-4.120932829
0.00199787	-4.103377478
0.001997875	-4.084875286
0.00199788	-4.065432677
0.001997885	-4.045056215
0.00199789	-4.023752865
0.001997895	-4.001529646
0.0019979	-3.978393863
0.001997905	-3.954353105
0.00199791	-3.929415044
0.001997915	-3.903587668
0.00199792	-3.876879163
0.001997925	-3.849297912
0.00199793	-3.820852498
0.001997935	-3.791551734
0.00199794	-3.761404628
0.001997945	-3.73042036
0.00199795	-3.698608339
0.001997955	-3.665978141
0.00199796	-3.632539602
0.001997965	-3.598302698
0.00199797	-3.563277517
0.001997975	-3.52747449
0.00199798	-3.490904106
0.001997985	-3.453577108
0.00199799	-3.415504295
0.001997995	-3.37669681
0.001998	-3.33716585
0.001998005	-3.093282487
0.00199801	-2.782337674
0.001998015	-2.810468089
0.00199802	-3.056636359
0.001998025	-3.067048738
0.00199803	-2.836499164
0.001998035	-2.819968358
0.00199804	-3.043753793
0.001998045	-3.052633247
0.00199805	-2.79915497
0.001998055	-2.853539399
0.00199806	-2.915511686
0.001998065	-2.918100677
0.00199807	-2.861219002
0.001998075	-2.803840516
0.00199808	-2.74580924
0.001998085	-2.687140636
0.00199809	-2.627850449
0.001998095	-2.567954425
0.0019981	-2.507468537
0.001998105	-2.446408871
0.00199811	-2.384791514
0.001998115	-2.322632895
0.00199812	-2.259949326
0.001998125	-2.196757407
0.00199813	-2.133073679
0.001998135	-2.06891491
0.00199814	-2.004297926
0.001998145	-1.939239553
0.00199815	-1.873756787
0.001998155	-1.807866795
0.00199816	-1.741586743
0.001998165	-1.674933685
0.00199817	-1.607924958
0.001998175	-1.540577955
0.00199818	-1.472910128
0.001998185	-1.404938871
0.00199819	-1.336681635
0.001998195	-1.268156097
0.0019982	-1.19937971
0.001998205	-1.130370265
0.00199821	-1.061145383
0.001998215	-0.991722573
0.00199822	-0.922119852
0.001998225	-0.852354674
0.00199823	-0.782444943
0.001998235	-0.71240828
0.00199824	-0.642262535
0.001998245	-0.572025499
0.00199825	-0.501714851
0.001998255	-0.431348326
0.00199826	-0.360943602
0.001998265	-0.290518528
0.00199827	-0.220090669
0.001998275	-0.149677703
0.00199828	-0.079297365
0.001998285	-0.008967049
0.00199829	0.061295566
0.001998295	0.131472973
0.0019983	0.201547664
0.001998305	0.271502472
0.00199831	0.341319833
0.001998315	0.410982523
0.00199832	0.480473318
0.001998325	0.549775166
0.00199833	0.618870899
0.001998335	0.687743579
0.00199834	0.756376267
0.001998345	0.824752192
0.00199835	0.89285453
0.001998355	0.960666739
0.00199836	1.028172221
0.001998365	1.095354662
0.00199837	1.162197691
0.001998375	1.228685051
0.00199838	1.294800654
0.001998385	1.360528586
0.00199839	1.425852986
0.001998395	1.490758052
0.0019984	1.55522838
0.001998405	1.619248337
0.00199841	1.682802633
0.001998415	1.745876261
0.00199842	1.808453931
0.001998425	1.870520975
0.00199843	1.93206256
0.001998435	1.993064188
0.00199844	2.053511423
0.001998445	2.113389996
0.00199845	2.172685811
0.001998455	2.231384997
0.00199846	2.289473912
0.001998465	2.346938857
0.00199847	2.403766473
0.001998475	2.459943687
0.00199848	2.515457311
0.001998485	2.570294669
0.00199849	2.624443084
0.001998495	2.677890052
0.0019985	2.730623464
0.001998505	2.782631213
0.00199851	2.833901476
0.001998515	2.884422656
0.00199852	2.934183328
0.001998525	2.98317218
0.00199853	3.031378299
0.001998535	3.078790996
0.00199854	3.125399587
0.001998545	3.171193839
0.00199855	3.216163464
0.001998555	3.26029874
0.00199856	3.303590006
0.001998565	3.346027654
0.00199857	3.387602646
0.001998575	3.428305945
0.00199858	3.468128909
0.001998585	3.5070629
0.00199859	3.54509973
0.001998595	3.582231386
0.0019986	3.618450137
0.001998605	3.653748308
0.00199861	3.688118795
0.001998615	3.721554492
0.00199862	3.754048521
0.001998625	3.785594515
0.00199863	3.816185995
0.001998635	3.845817105
0.00199864	3.874481877
0.001998645	3.90217491
0.00199865	3.928890919
0.001998655	3.954624844
0.00199866	3.979371968
0.001998665	4.003127799
0.00199867	4.025887961
0.001998675	4.047648645
0.00199868	4.068406099
0.001998685	4.088156686
0.00199869	4.106897393
0.001998695	4.124625207
0.0019987	4.141337399
0.001998705	4.15703164
0.00199871	4.171705712
0.001998715	4.185357795
0.00199872	4.197986129
0.001998725	4.20958952
0.00199873	4.220166716
0.001998735	4.229716865
0.00199874	4.238239455
0.001998745	4.245734146
0.00199875	4.252200938
0.001998755	4.257639887
0.00199876	4.262051561
0.001998765	4.265436701
0.00199877	4.267796214
0.001998775	4.269131296
0.00199878	4.269443593
0.001998785	4.268734756
0.00199879	4.267006773
0.001998795	4.264262031
0.0019988	4.260502976
